#n err_avu err_avl err_avus err_avls err_aru err_arl err_arus err_arls
640 4.403522e+97 5.495492e+99 2.284495e-01 2.580566e-01 1.830156e-18 2.663018e-19 9.378407e-16 6.937702e-16
650 4.441496e+101 6.811594e+93 2.640940e-01 3.744673e-01 9.669858e-19 1.909567e-19 1.629322e-15 8.365635e-16
660 2.868988e+115 5.196777e+122 1.694127e-01 2.720048e-01 8.234309e-20 4.664819e-20 1.225605e-15 9.319352e-16
670 7.748787e+108 1.210219e+112 2.369603e-01 1.665665e-01 9.634541e-19 1.805039e-21 7.802454e-16 1.002742e-15
680 4.513575e+118 1.385198e+115 1.647925e-01 2.688441e-01 4.483872e-19 4.849380e-20 2.421156e-15 1.040095e-15
690 9.138843e+116 1.515922e+111 2.609053e-01 4.968314e-01 1.124681e-18 5.097321e-20 1.398912e-15 6.380753e-16
700 1.386394e+125 2.439881e+122 1.532484e-01 2.952959e-01 4.426200e-19 8.761587e-23 1.458019e-15 7.258651e-16
710 1.390587e+128 3.420880e+121 2.714189e-01 2.117901e-01 3.645814e-20 2.310857e-30 8.680785e-16 7.952820e-16
720 2.569753e+129 2.859694e+132 1.996424e-01 3.899979e-01 3.185692e-19 9.884473e-22 8.174571e-16 7.117966e-16
730 2.879246e+122 2.618025e+116 4.344118e-01 3.319348e-01 3.268292e-19 2.999397e-19 1.075569e-15 1.389827e-15
740 6.524776e+131 8.648421e+128 2.604921e-01 2.574891e-01 1.319737e-19 9.663543e-20 2.549732e-15 7.136887e-16
750 1.349104e+134 5.447003e+139 2.370363e-01 2.033033e-01 3.313395e-19 2.061956e-19 2.009082e-15 1.471087e-15
760 1.083146e+132 6.463459e+124 3.919828e-01 2.991047e-01 1.066575e-18 2.381419e-21 8.871279e-16 1.033715e-15
770 4.069175e+119 5.290730e+113 2.086030e-01 2.693435e-01 7.232578e-19 3.130087e-26 1.007117e-15 1.220629e-15
780 7.130662e+122 1.756091e+124 2.846572e-01 3.571701e-01 3.169663e-19 6.510620e-23 1.161085e-15 7.724543e-16
790 1.677379e+118 6.945588e+124 1.607115e-01 2.758399e-01 1.247600e-18 1.286275e-19 2.509294e-15 9.768521e-16
800 1.627489e+140 4.741868e+133 2.921976e-01 1.971311e-01 9.179478e-19 1.269363e-20 1.411708e-15 9.632191e-16
810 3.740195e+138 6.755482e+136 3.151030e-01 2.597817e-01 1.099667e-18 1.835506e-20 1.565252e-15 8.828653e-16
820 7.950580e+140 6.941612e+142 6.250851e-01 3.210772e-01 1.321047e-19 1.820528e-20 1.842645e-15 1.013807e-15
830 2.296693e+131 3.578019e+137 3.517109e-01 2.097707e-01 1.274911e-18 3.618150e-23 8.103926e-16 1.034761e-15
840 4.248678e+146 1.201917e+146 3.261509e-01 2.583308e-01 1.935366e-19 1.070236e-20 1.923735e-15 9.105640e-16
850 4.834290e+133 1.761158e+126 3.206908e-01 3.983204e-01 1.429140e-19 1.914194e-20 9.050720e-16 8.092083e-16
860 2.554517e+148 2.572862e+156 3.606660e-01 4.125240e-01 4.470387e-19 1.948553e-27 1.148063e-15 1.053081e-15
870 1.653137e+147 1.945461e+154 4.776906e-01 1.967605e-01 1.344804e-18 3.171374e-23 1.598003e-15 1.064421e-15
880 3.228504e+145 6.112733e+144 2.023408e-01 3.953299e-01 4.048093e-19 1.956161e-22 2.093394e-15 7.993841e-16
890 6.603043e+157 1.257555e+160 3.088374e-01 1.823759e-01 4.755705e-20 2.841374e-23 1.850862e-15 9.364130e-16
900 1.452657e+178 1.693729e+165 3.049358e-01 2.853097e-01 2.921025e-19 1.562811e-21 1.790660e-15 7.032784e-16
910 3.651164e+136 4.737338e+145 4.045384e-01 2.755178e-01 8.528638e-20 5.732310e-21 1.479620e-15 1.055840e-15
920 2.454395e+145 6.954807e+159 6.116519e-01 3.534577e-01 3.912093e-19 1.659291e-22 1.075810e-15 9.326499e-16
930 1.142249e+166 1.023098e+169 1.886708e-01 1.353237e-01 5.978638e-19 5.523411e-22 1.091156e-15 1.160547e-15
940 1.041062e+142 6.820444e+142 1.885834e-01 4.609049e-01 6.819294e-19 8.433891e-21 2.184584e-15 7.073212e-16
950 2.046738e+175 5.452372e+169 3.376340e-01 3.346559e-01 3.605442e-19 3.169060e-21 1.244040e-15 9.066646e-16
960 3.465104e+163 2.866773e+162 4.223859e-01 3.356288e-01 1.585123e-19 2.104463e-19 8.822169e-16 8.265940e-16
970 3.443851e+163 5.187663e+154 3.028160e-01 2.575691e-01 5.996956e-19 8.149280e-23 1.069753e-15 1.014095e-15
980 6.512546e+173 1.746892e+169 3.371844e-01 3.419375e-01 9.257425e-20 7.727851e-30 1.455522e-15 8.683416e-16
1000 1.592600e+156 1.585400e+148 3.078272e-01 2.644221e-01 1.031519e-19 1.260509e-19 1.314859e-15 1.711238e-15
